Area,Status,Floor,Transaction,Furnishing,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,luxury_type
430.0,Ready to Move,high level,Resale,Semi-Furnished,Unknown,2.0,1.0,0.85,1,Mira Road Mumbai,Apartment,luxury
430.0,Ready to Move,medium level,Resale,Unfurnished,Unknown,2.0,1.0,1.06,1,Kandivali East Mumbai,Apartment,luxury
385.0,Ready to Move,medium level,New Property,Unfurnished,1 Open,2.0,2.0,0.68,1,Mira Bhayandar Mumbai,Apartment,semi luxury
415.0,Ready to Move,low level,Resale,Unfurnished,Unknown,2.0,2.0,1.1,1,Ghatkopar West Mumbai,Apartment,luxury
440.0,Ready to Move,medium level,Resale,Semi-Furnished,1 Open,2.0,1.0,1.25,1,Kandivali West Mumbai,Apartment,semi luxury
550.0,Ready to Move,medium level,Resale,Semi-Furnished,1 Covered,2.0,2.0,1.95,1,Chembur East Mumbai,Apartment,semi luxury
402.0,Under Construction,medium level,New Property,Unfurnished,Unknown,1.0,1.0,1.09,1,Kandivali East Mumbai,Apartment,semi luxury
400.0,Ready to Move,low level,Resale,Unfurnished,Unknown,2.0,2.0,1.1,1,Mumbai,Apartment,semi luxury
450.0,Ready to Move,low level,Resale,Semi-Furnished,Unknown,1.0,1.0,0.95,1,Kurla East Mumbai,Apartment,semi luxury
441.0,Under Construction,low level,New Property,Unfurnished,1 Covered,1.0,1.0,1.63,1,Andheri West Mumbai,Apartment,semi luxury
392.0,Under Construction,high level,Resale,Unfurnished,1 Covered,2.0,1.0,1.05,1,Malad West Mumbai,Apartment,luxury
421.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,2.0,2.0,1.42,1,Borivali West Mumbai,Apartment,semi luxury
378.0,Ready to Move,high level,Resale,Unfurnished,1 Covered,2.0,1.0,1.8,1,Powai Mumbai,Apartment,semi luxury
476.0,Ready to Move,medium level,Resale,Unfurnished,1 Open,2.0,2.0,1.05,1,Powai Mumbai,Apartment,semi luxury
480.0,Ready to Move,medium level,Resale,Unfurnished,Unknown,2.0,1.0,1.38,1,Mumbai,Apartment,semi luxury
448.0,Under Construction,high level,New Property,Unfurnished,1 Covered,2.0,2.0,1.44,1,Andheri East Mumbai,Apartment,semi luxury
456.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,1.47,1,Andheri East Mumbai,Apartment,semi luxury
434.0,Ready to Move,medium level,Resale,Unfurnished,1 Covered,2.0,1.0,1.2,1,Mumbai,Apartment,semi luxury
472.0,Under Construction,low level,New Property,Unfurnished,Unknown,1.0,1.0,1.98,1,Vile Parle East Mumbai,Apartment,semi luxury
425.0,Ready to Move,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,1.88,1,Vile Parle East Mumbai,Apartment,semi luxury
450.0,Ready to Move,medium level,Resale,Semi-Furnished,Unknown,1.0,1.0,0.98,1,Mumbai,Apartment,semi luxury
377.0,Under Construction,medium level,New Property,Semi-Furnished,1 Open,2.0,1.0,0.81,1,Jogeshwari West Mumbai,Apartment,luxury
419.0,Ready to Move,medium level,Resale,Semi-Furnished,Unknown,2.0,1.0,1.16,1,Goregaon East Mumbai,Apartment,semi luxury
454.0,Ready to Move,low level,New Property,Unfurnished,1 Covered,2.0,1.0,1.02,1,Kurla East Mumbai,Apartment,luxury
463.0,Under Construction,high level,New Property,Unfurnished,1 Covered,2.0,2.0,1.2,1,Andheri East Mumbai,Apartment,semi luxury
550.0,Ready to Move,low level,Resale,Semi-Furnished,1 Open,1.0,1.0,3.7,1,Malabar Hill Mumbai,Apartment,semi luxury
425.0,Ready to Move,medium level,New Property,Semi-Furnished,Unknown,2.0,2.0,1.19,1,Andheri East Mumbai,Apartment,semi luxury
390.0,Under Construction,medium level,New Property,Semi-Furnished,1 Covered,2.0,2.0,0.89,1,Kurla East Mumbai,Apartment,semi luxury
550.0,Ready to Move,high level,Resale,Semi-Furnished,1 Covered,1.0,1.0,2.8,1,Worli Mumbai,Apartment,semi luxury
443.0,Ready to Move,medium level,New Property,Unfurnished,1 Covered,2.0,1.0,1.5,1,Chembur East Mumbai,Apartment,semi luxury
449.0,Under Construction,medium level,New Property,Unfurnished,1 Covered,1.0,1.0,1.53,1,Borivali West Mumbai,Apartment,semi luxury
435.0,Under Construction,high level,Resale,Unfurnished,1 Covered,2.0,2.0,1.35,1,Mumbai,Apartment,semi luxury
413.0,Under Construction,high level,New Property,Unfurnished,1 Covered,2.0,1.0,0.85,1,Malad West Mumbai,Apartment,semi luxury
485.0,Ready to Move,medium level,Resale,Unfurnished,1 Open,2.0,2.0,1.09,1,Mulund East Mumbai,Apartment,semi luxury
