Area,Status,Floor,Transaction,Furnishing,Society,Car Parking,Bathroom,Balcony,price,BHK_type,Address,Type,Main Road,Pool,Garden/Park,pricepersqft
390.0,Under Construction,0.0,New Property,Unfurnished,Ruparel Urbana,Unknown,2.0,1.0,0.81,1,Kurla Mumbai,Apartment,1,0,1,2076.92
463.0,Under Construction,0.0,New Property,Unfurnished,Ratan Heritage,1 Covered,1.0,1.0,1.08,1,Jogeshwari East Mumbai,Apartment,0,0,0,2332.61
426.0,Under Construction,0.0,New Property,Unfurnished,Romell Orbis,Unknown,1.0,2.0,1.35,1,Andheri East Mumbai,Apartment,0,0,0,3169.01
433.0,Under Construction,0.0,New Property,Unfurnished,Panom Park,Unknown,1.0,2.0,1.34,1,Malad West Mumbai,Apartment,0,0,0,3094.69
400.0,Under Construction,0.0,New Property,Unfurnished,Joyville Virar,Unknown,1.0,2.0,0.52,1,Virar Mumbai,Apartment,0,0,0,1300.0
439.0,Under Construction,0.0,New Property,Unfurnished,Kalpataru Vivant,1 Covered,1.0,1.0,1.49,1,Unknown,Apartment,1,0,0,3394.08
632.0,Ready to Move,19.0,New Property,Unfurnished,Gauri Excellency,1 Covered,2.0,3.0,1.15,1,Kandivali West Mumbai,Apartment,1,0,1,1819.62
439.0,Under Construction,16.0,New Property,Unfurnished,Kalpataru Vivant,1 Covered,2.0,1.0,1.48,1,Andheri East Mumbai,Apartment,0,0,1,3371.3
474.0,Under Construction,10.0,Resale,Unfurnished,Universal Garden,1 Covered,1.0,1.0,1.23,1,Jogeshwari West Mumbai,Apartment,1,0,1,2594.94
395.0,Ready to Move,6.0,Resale,Semi-Furnished,Evershine Millenium Paradise,Unknown,1.0,1.0,0.97,1,Unknown,Apartment,1,0,0,2455.7
435.0,Ready to Move,2.0,Resale,Unfurnished,Vasant Oasis,1 Covered,2.0,1.0,1.5,1,Andheri East Mumbai,Apartment,0,0,1,3448.28
511.0,Ready to Move,11.0,Resale,Semi-Furnished,Lodha Gardenia,1 Covered,1.0,1.0,1.99,1,Wadala Mumbai,Apartment,1,0,1,3894.32
700.0,Ready to Move,4.0,Resale,Unfurnished,Bhakti Park,Unknown,2.0,1.0,1.25,1,Wadala East Mumbai,Apartment,1,1,1,1785.71
